Supplier,Category,SubCategory,Name,Price,OldPrice,Description,VendorCode,Pictures,Sizes,Total_Qty,Badge
BUYMEUA,МІЛІТАРІ,Шеврони,Шеврон revenge,100.0000,,"<p>Тип кріплення: липучка Velcro<br>• Висота: 9 см<br>• Ширина: 7,5 см<br>• Форма: щит</p>",10806,https://cdn.buymeua.shop/buymeua/product/3416285/conversions/Gemini_Generated_Image_75fytw75fytw75fy-optimized.jpg,Універсальний - 50,50,
BUYMEUA,МІЛІТАРІ,Тактичні рукавички,рукавички тактичні black безпалі,285.0000,,"<p>&nbsp;</p><ul><li>Матеріал - замша, синтетична шкіра, нейлон</li><li>Ущільнені накладки на пальці та кісточки</li><li>Антиковзні вставки на долонях</li><li>Дві липучки для кращої фіксації на руці</li><li>&nbsp;</li></ul><p>&nbsp;</p>",10953,"https://cdn.buymeua.shop/buymeua/product/314572/conversions/1-%D0%BA%D0%BE%D0%BF%D0%B8%D1%8F-optimized.jpg, https://cdn.buymeua.shop/buymeua/product/314568/conversions/1739475978-optimized.jpg, https://cdn.buymeua.shop/buymeua/product/314569/conversions/1739475981-optimized.jpg, https://cdn.buymeua.shop/buymeua/product/314570/conversions/1739475984-optimized.jpg, https://cdn.buymeua.shop/buymeua/product/314571/conversions/1739475995-optimized.jpg","L - 17, XXL - 25",42,
BUYMEUA,МІЛІТАРІ,Тактичні рукавички,рукавички тактичні кайот TACT,315.0000,,"<p>&nbsp;</p><ul><li>Матеріал - замша, синтетична шкіра, нейлон</li><li>Ущільнені накладки на пальці та кісточки</li><li>Антиковзні вставки на долонях</li><li>Дві липучки для кращої фіксації на руці</li></ul><p>&nbsp;</p>",11134,"https://cdn.buymeua.shop/buymeua/product/314139/conversions/1-%D0%BA%D0%BE%D0%BF%D0%B8%D1%8F-optimized.jpg, https://cdn.buymeua.shop/buymeua/product/314135/conversions/1739318662-optimized.jpg, https://cdn.buymeua.shop/buymeua/product/314136/conversions/1739318670-optimized.jpg, https://cdn.buymeua.shop/buymeua/product/314137/conversions/1739318677-optimized.jpg, https://cdn.buymeua.shop/buymeua/product/314138/conversions/1739319602-optimized.jpg","XL - 1, XXL - 6",7,
BUYMEUA,МІЛІТАРІ,Тактичні рукавички,рукавички тактичні хаки TACT ВТ6523,350.0000,,"<p>&nbsp;</p><ul><li>Матеріал - замша, синтетична шкіра, нейлон</li><li>Ущільнені накладки на пальці та кісточки</li><li>Антиковзні вставки на долонях</li><li>Дві липучки для кращої фіксації на руці</li></ul><p>&nbsp;</p>",11135,"https://cdn.buymeua.shop/buymeua/product/314777/conversions/DSC_8569-%D0%BA%D0%BE%D0%BF%D0%B8%D1%8F-optimized.jpg, https://cdn.buymeua.shop/buymeua/product/314773/conversions/1739553662-optimized.jpg, https://cdn.buymeua.shop/buymeua/product/314774/conversions/1739553666-optimized.jpg, https://cdn.buymeua.shop/buymeua/product/314775/conversions/1739553671-optimized.jpg, https://cdn.buymeua.shop/buymeua/product/314776/conversions/1739554017-optimized.jpg","M - 17, L - 24, XL - 21, XXL - 24",86,
BUYMEUA,МІЛІТАРІ,Тактичні рукавички,рукавички безпалі кайот TACT,235.0000,,"<p>&nbsp;</p><ul><li>Матеріал - замша, синтетична шкіра, нейлон</li><li>Ущільнені накладки на пальці та кісточки</li><li>Антиковзні вставки на долонях</li><li>Дві липучки для кращої фіксації на руці</li></ul><p>&nbsp;</p>",11137,"https://cdn.buymeua.shop/buymeua/product/314149/conversions/1-%D0%B2%D0%BE%D1%81%D1%81%D1%82%D0%B0%D0%BD%D0%BE%D0%B2%D0%BB%D0%B5%D0%BD%D0%BE-optimized.jpg, https://cdn.buymeua.shop/buymeua/product/314145/conversions/1739320421-optimized.jpg, https://cdn.buymeua.shop/buymeua/product/314146/conversions/1739320505-optimized.jpg, https://cdn.buymeua.shop/buymeua/product/314147/conversions/1739320549-optimized.jpg, https://cdn.buymeua.shop/buymeua/product/314148/conversions/1739321286-optimized.jpg","XL - 3, XXL - 6",9,
BUYMEUA,МІЛІТАРІ,тактичні пояси/ремені під зброю/,РЕМІНЬ КОБРУ BLACKFIRE NO. 9 oliva,275.0000,,"<p>Міцний та зручний тактичний ремінь. Виготовлений з нейлонової стрічки, яка адаптується до фігури і має високу стійкість до стирання та розриву. Оснащений міцною пряжкою, конструкція якої дозволяє миттєво застібати і розстібати ремінь. Ремінець не має отворів, а пряжка дозволяє безступінчасто регулювати розмір ременя. Завдяки цьому Blackfire No. 9 можна точно підібрати до кола ременя користувача. При необхідності ремінець можна вкоротити, відрізавши частину ремінця. Вся конструкція відрізняється високою міцністю. Ремінь можна легко зарядити аксесуарами, наприклад, мультитулом, ліхтариком або кобурою з пістолетом.</p>",11374,https://cdn.buymeua.shop/buymeua/product/264957/conversions/KGA_8241-optimized.jpg,Універсальний - 92,92,
BUYMEUA,МІЛІТАРІ,тактичні пояси/ремені під зброю/,РЕМІНЬ КОБРУ BLACKFIRE NO. 9 black П4-1!,250.0000,,"<p>Міцний та зручний тактичний ремінь. Виготовлений з нейлонової стрічки, яка адаптується до фігури і має високу стійкість до стирання та розриву. Оснащений міцною пряжкою, конструкція якої дозволяє миттєво застібати та розстібати ремінь. Ремінець не має отворів, а пряжка дозволяє безступінчасто регулювати розмір ременя. Завдяки цьому Blackfire No. 9 можна точно підібрати до кола ременя користувача. При необхідності ремінець можна вкоротити, відрізавши частину ремінця. Вся конструкція відрізняється високою міцністю. Ремінь можна легко зарядити аксесуарами, наприклад, мультитулом, ліхтариком або кобурою з пістолетом.</p>",11375,"https://cdn.buymeua.shop/buymeua/product/264959/conversions/KGA_8239-optimized.jpg, https://cdn.buymeua.shop/buymeua/product/3091324/conversions/1778401780-optimized.jpg, https://cdn.buymeua.shop/buymeua/product/3091325/conversions/1778401784-optimized.jpg",Універсальний - 88,88,
BUYMEUA,МІЛІТАРІ,тактичні пояси/ремені під зброю/,РЕМІНЬ КОБРУ BLACKFIRE NO. 9 cayot,299.0000,,"<p>Міцний та зручний тактичний ремінь. Виготовлений з нейлонової стрічки, яка адаптується до фігури і має високу стійкість до стирання та розриву. Оснащений міцною пряжкою, конструкція якої дозволяє миттєво застібати та розстібати ремінь. Ремінець не має отворів, а пряжка дозволяє безступінчасто регулювати розмір ременя. Завдяки цьому Blackfire No. 9 можна точно підібрати до кола ременя користувача. При необхідності ремінець можна вкоротити, відрізавши частину ремінця. Вся конструкція відрізняється високою міцністю. Ремінь можна легко зарядити аксесуарами, наприклад, мультитулом, ліхтариком або кобурою з пістолетом.</p>",11376,https://cdn.buymeua.shop/buymeua/product/264956/conversions/KGA_8238-optimized.jpg,Універсальний - 18,18,
BUYMEUA,МІЛІТАРІ,Тактичні штани,Тактичні штани джогер BANDIT ОЛИВА,1199.0000,,"<p><strong>На моделі розмір S</strong><br><strong>Зріст 175 см | Вага 75 кг</strong></p><p>BANDIT — це зручність повсякденного формату в поєднанні з тактичною функціональністю.<br>Модель створена для активного руху, міста та польових умов.</p><p>Штани виконані з міцного армійського саржу — щільної износостійкої тканини, стійкої до навантажень і деформації. Матеріал добре тримає форму, не просвічується і комфортний у носінні.</p><p>Анатомічний крій забезпечує свободу рухів, а манжети на резинках фіксують посадку і ідеально поєднуються з тактичною взуттям.</p><h3>Особливості моделі:</h3><p>• Щільна армійська саржа<br>• Полномірна посадка<br>• Еластичний пояс зі шнурком<br>• Манжети на резинках<br>• Вмісткі бічні карго-кишені<br>• Зручні передні та задні кишені<br>• Універсальний тактичний силует</p><p>&nbsp;</p><h4>&nbsp;Таблиця розмірів (заміри виробу, см)</h4><figure class=""table""><table><thead><tr><th>Розмір</th><th>Пояс</th><th>Сідниці</th><th>Довжина</th></tr></thead><tbody><tr><td>M</td><td>33</td><td>50</td><td>100</td></tr><tr><td>L</td><td>34</td><td>50</td><td>104</td></tr><tr><td>XL</td><td>38</td><td>53</td><td>107</td></tr><tr><td>XXL</td><td>39</td><td>59</td><td>109</td></tr></tbody></table></figure>",11469,"https://cdn.buymeua.shop/buymeua/product/2749325/conversions/Gemini_Generated_Image_thgpt9thgpt9thgp-optimized.jpg, https://cdn.buymeua.shop/buymeua/product/2749318/conversions/1771191580-optimized.jpg, https://cdn.buymeua.shop/buymeua/product/2749319/conversions/1771191585-optimized.jpg, https://cdn.buymeua.shop/buymeua/product/2749320/conversions/1771191589-optimized.jpg, https://cdn.buymeua.shop/buymeua/product/2749321/conversions/1771191593-optimized.jpg, https://cdn.buymeua.shop/buymeua/product/2749322/conversions/1771191597-optimized.jpg, https://cdn.buymeua.shop/buymeua/product/2749323/conversions/1771191601-optimized.jpg, https://cdn.buymeua.shop/buymeua/product/2749324/conversions/1771191605-optimized.jpg","S - 36, M - 28, L - 37, XL - 19, XXL - 33",153,
BUYMEUA,МІЛІТАРІ,Тактичні штани,Тактичні штани джогер BANDIT ЧОРНІ,1199.0000,,"<p><strong>На моделі розмір S</strong><br><strong>Зріст 175 см | Вага 75 кг</strong></p><p>BANDIT — це зручність повсякденного формату в поєднанні з тактичною функціональністю.<br>Модель створена для активного руху, міста та польових умов.</p><p>Штани виконані з міцного армійського саржі — щільної зносостійкої тканини, стійкої до навантажень і деформації. Матеріал добре тримає форму, не просвічується і комфортний у носінні.</p><p>Анатомічний крій забезпечує свободу рухів, а манжети на резинках фіксують посадку та ідеально поєднуються з тактичною взуттям.</p><h3>Особливості моделі:</h3><p>• Щільна армійська саржа<br>• Полноцінна посадка<br>• Еластичний пояс зі шнурком<br>• Манжети на резинках<br>• Вмістимі бічні карго-кишені<br>• Зручні передні та задні кишені<br>• Універсальний тактичний силует</p><p>&nbsp;</p><h4>&nbsp;Таблиця розмірів (заміри виробу, см)</h4><figure class=""table""><table><thead><tr><th>Розмір</th><th>Пояс</th><th>Сідниці</th><th>Довжина</th></tr></thead><tbody><tr><td>M</td><td>33</td><td>50</td><td>100</td></tr><tr><td>L</td><td>34</td><td>50</td><td>104</td></tr><tr><td>XL</td><td>38</td><td>53</td><td>107</td></tr><tr><td>XXL</td><td>39</td><td>59</td><td>109</td></tr></tbody></table></figure>",11470,"https://cdn.buymeua.shop/buymeua/product/2749317/conversions/Gemini_Generated_Image_ylmzweylmzweylmz-optimized.jpg, https://cdn.buymeua.shop/buymeua/product/2749310/conversions/1771191418-optimized.jpg, https://cdn.buymeua.shop/buymeua/product/2749311/conversions/1771191422-optimized.jpg, https://cdn.buymeua.shop/buymeua/product/2749312/conversions/1771191427-optimized.jpg, https://cdn.buymeua.shop/buymeua/product/2749313/conversions/1771191432-optimized.jpg, https://cdn.buymeua.shop/buymeua/product/2749314/conversions/1771191435-optimized.jpg, https://cdn.buymeua.shop/buymeua/product/2749315/conversions/1771191440-optimized.jpg, https://cdn.buymeua.shop/buymeua/product/2749316/conversions/1771191443-optimized.jpg","S - 11, M - 19, L - 23, XL - 19, XXL - 25, XXXL - 32",129,
BUYMEUA,МІЛІТАРІ,Тактичні штани,Тактичні штани джогер BANDIT піксель,1199.0000,,"<p><strong>На моделі розмір S</strong><br><strong>Зріст 175 см | Вага 75 кг</strong></p><p>BANDIT — це зручність повсякденного формату в поєднанні з тактичною функціональністю.<br>Модель створена для активного руху, міста та польових умов.</p><p>Штани виконані з міцного армейського саржі — щільної зносостійкої тканини, стійкої до навантажень і деформацій. Матеріал добре тримає форму, не просвічується і комфортний у носінні.</p><p>Анатомічний крій забезпечує свободу рухів, а манжети на резинках фіксують посадку і ідеально поєднуються з тактичною взуттям.</p><h3>Особливості моделі:</h3><p>• Щільна армейська саржа<br>• Полномерна посадка<br>• Еластичний пояс з шнурком<br>• Манжети на резинках<br>• Ємні бічні карго-кармани<br>• Зручні передні та задні кишені<br>• Універсальний тактичний силует</p><p>&nbsp;</p><h4>&nbsp;Таблиця розмірів (заміри виробу, см)</h4><figure class=""table""><table><thead><tr><th>Розмір</th><th>Пояс</th><th>Талія</th><th>Довжина</th></tr></thead><tbody><tr><td>M</td><td>33</td><td>50</td><td>100</td></tr><tr><td>L</td><td>34</td><td>50</td><td>104</td></tr><tr><td>XL</td><td>38</td><td>53</td><td>107</td></tr><tr><td>XXL</td><td>39</td><td>59</td><td>109</td></tr></tbody></table></figure>",11471,"https://cdn.buymeua.shop/buymeua/product/2749341/conversions/Gemini_Generated_Image_bvyy0fbvyy0fbvyy-optimized.jpg, https://cdn.buymeua.shop/buymeua/product/2749334/conversions/1771191752-optimized.jpg, https://cdn.buymeua.shop/buymeua/product/2749335/conversions/1771191758-optimized.jpg, https://cdn.buymeua.shop/buymeua/product/2749336/conversions/1771191762-optimized.jpg, https://cdn.buymeua.shop/buymeua/product/2749337/conversions/1771191768-optimized.jpg, https://cdn.buymeua.shop/buymeua/product/2749338/conversions/1771191772-optimized.jpg, https://cdn.buymeua.shop/buymeua/product/2749339/conversions/1771191776-optimized.jpg, https://cdn.buymeua.shop/buymeua/product/2749340/conversions/1771191780-optimized.jpg","M - 7, L - 28, XL - 28, XXL - 36, S - 31, XXXL - 35",165,
BUYMEUA,МІЛІТАРІ,Тактичні Флісовки/Кофти,гольф чорний НР6324,399.0000,,"<h3><strong>Водолазка Basic Black</strong></h3><p><strong>Матеріал:</strong> дрібна в'язка<br><strong>Склад:</strong> 95% бавовна, 5% еластан<br><strong>Посадка:</strong> повномірна</p><p>Класична чоловіча водолазка <strong>Basic Black</strong> — ідеальний баланс між комфортом і стилем.<br>Щільний матеріал з бавовни з додаванням еластану забезпечує м'якість, еластичність та відмінну посадку по фігурі.<br>Гладка текстура тканини приємна до тіла, не скочується і не втрачає форми навіть після численних прань.<br>Підходить для повсякденного носіння, офісу, тренувань або як базовий шар під тактичну форму.</p><h3><strong>Розмірна сітка:</strong></h3><figure class=""table""><table><thead><tr><th>Розмір</th><th>Плечі (см)</th><th>Грудь (см)</th><th>Рукав (см)</th><th>Довжина (см)</th></tr></thead><tbody><tr><td>S</td><td>37</td><td>38</td><td>61</td><td>66</td></tr><tr><td>M</td><td>39</td><td>40</td><td>61</td><td>67</td></tr><tr><td>L</td><td>41</td><td>42</td><td>61</td><td>69</td></tr><tr><td>XL</td><td>42</td><td>43</td><td>61</td><td>69</td></tr><tr><td>2XL</td><td>46</td><td>48</td><td>61</td><td>72</td></tr><tr><td>3XL</td><td>49</td><td>50</td><td>64</td><td>75</td></tr></tbody></table></figure><p><strong>Особливості:</strong></p><p>Дрібна в'язка — м'яка, приємна до тіла та зносостійка.</p><p>Натуральна бавовна з еластаном забезпечує ідеальну посадку і комфорт.</p><p>Універсальний чорний колір — поєднується з будь-яким стилем.</p><p>Підходить для повсякденного носіння та тактичного гардеробу.</p>",11523,"https://cdn.buymeua.shop/buymeua/product/1667510/conversions/GRK_9249-optimized.jpg, https://cdn.buymeua.shop/buymeua/product/1667505/conversions/1760732840-optimized.jpg, https://cdn.buymeua.shop/buymeua/product/1667506/conversions/1760732856-optimized.jpg, https://cdn.buymeua.shop/buymeua/product/1667507/conversions/1760732861-optimized.jpg, https://cdn.buymeua.shop/buymeua/product/1667508/conversions/1760732870-optimized.jpg, https://cdn.buymeua.shop/buymeua/product/1667509/conversions/1760732849-optimized.jpg","L - 1, S - 2",3,
BUYMEUA,МІЛІТАРІ,РПС / Плитоноски,Розвантажувальний пояс афганка кайот ВМ3642,799.0000,,<p>розмір універсальний&nbsp;</p><p>матеріал кардюра&nbsp;</p><p>4 відділення по магазини під 2 ріжки&nbsp;</p><p>2великі відділення під аптечку та гранати&nbsp;</p><p>&lt; кишеня під кевларовий пояс&nbsp;</p><p>&nbsp;</p><p>&nbsp;</p><p>&nbsp;</p>,11679,"https://cdn.buymeua.shop/buymeua/product/3438101/conversions/GRK_9349-optimized.jpg, https://cdn.buymeua.shop/buymeua/product/3438096/conversions/1781291342-optimized.jpg, https://cdn.buymeua.shop/buymeua/product/3438097/conversions/1781291359-optimized.jpg, https://cdn.buymeua.shop/buymeua/product/3438098/conversions/1781291345-optimized.jpg, https://cdn.buymeua.shop/buymeua/product/3438099/conversions/1781291348-optimized.jpg, https://cdn.buymeua.shop/buymeua/product/3438100/conversions/1781291352-optimized.jpg",Універсальний - 49,49,
BUYMEUA,МІЛІТАРІ,мілітарі костюми,Тактичний костюм defender піксель,1799.0000,,"<p>Тактичний костюм «Pixel» — Міцність і функціональність</p><p>Цей комплект розроблений спеціально для тих, кому важлива надійність в екстремальних умовах. Поєднання перевіреного матеріалу та продуманого крою робить його ідеальним вибором для виконання тактичних завдань, активного відпочинку або роботи.</p><h3><strong>Основні характеристики:</strong></h3><ul><li><strong>Матеріал:</strong> Армійський саржа&nbsp;</li><li><strong>Дизайн:</strong> Сучасний цифровий камуфляж (Pixel), що забезпечує відмінну маскувальність.</li><li><strong>Функціональність:</strong> * <strong>Знімний капюшон:</strong> Дозволяє легко адаптувати куртку під різні погодні умови або використання з бронежилетом.<ul><li><strong>Розміри:</strong> Повнорозмірні (не маломірять), що гарантує комфортну посадку по фігурі.</li><li><strong>Безліч кишень:</strong> Для зручного розміщення спорядження та особистих речей.</li></ul></li></ul><h3><strong>Розмірна сітка (в см):</strong></h3><figure class=""table""><table><thead><tr><th><strong>Розмір</strong></th><th><strong>Плечі</strong></th><th><strong>Груди</strong></th><th><strong>Рукав</strong></th><th><strong>Довжина куртки</strong></th><th><strong>Талія</strong></th><th><strong>Сідниці</strong></th><th><strong>Довжина штанів</strong></th></tr></thead><tbody><tr><td><strong>S</strong></td><td>44</td><td>54</td><td>63</td><td>70</td><td>38</td><td>50</td><td>108</td></tr><tr><td><strong>M</strong></td><td>55</td><td>65</td><td>63</td><td>78</td><td>42</td><td>62</td><td>107</td></tr><tr><td><strong>L</strong></td><td>56</td><td>66</td><td>64</td><td>79</td><td>43</td><td>63</td><td>108</td></tr><tr><td><strong>XL</strong></td><td>57</td><td>67</td><td>65</td><td>79</td><td>44</td><td>64</td><td>109</td></tr><tr><td><strong>2XL</strong></td><td>57</td><td>67</td><td>65</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td></tr></tbody></table></figure>",11798,"https://cdn.buymeua.shop/buymeua/product/2845537/conversions/Gemini_Generated_Image_s5npwas5npwas5np-optimized.jpg, https://cdn.buymeua.shop/buymeua/product/2845529/conversions/1773173124-optimized.jpg, https://cdn.buymeua.shop/buymeua/product/2845530/conversions/1773173128-optimized.jpg, https://cdn.buymeua.shop/buymeua/product/2845531/conversions/1773173134-optimized.jpg, https://cdn.buymeua.shop/buymeua/product/2845532/conversions/1773173139-optimized.jpg, https://cdn.buymeua.shop/buymeua/product/2845533/conversions/1773173143-optimized.jpg, https://cdn.buymeua.shop/buymeua/product/2845534/conversions/1773173147-optimized.jpg, https://cdn.buymeua.shop/buymeua/product/2845535/conversions/1773173151-optimized.jpg, https://cdn.buymeua.shop/buymeua/product/2845536/conversions/1773173155-optimized.jpg","S - 126, M - 126, L - 132, XL - 138, XXL - 143, XXXL - 124",789,
BUYMEUA,МІЛІТАРІ,мілітарі костюми,армійський костюм NAC 26-1! +,1350.0000,,<p>матеріал саржа</p><p>розміри повномірні&nbsp;</p><p>капюшон відстібається</p><p>&nbsp;</p>,11810,"https://cdn.buymeua.shop/buymeua/product/216748/conversions/IMG_1921-optimized.jpg, https://cdn.buymeua.shop/buymeua/product/216744/conversions/1677625462-optimized.jpg, https://cdn.buymeua.shop/buymeua/product/216745/conversions/1677625467-optimized.jpg, https://cdn.buymeua.shop/buymeua/product/216746/conversions/1677625470-optimized.jpg, https://cdn.buymeua.shop/buymeua/product/216747/conversions/1677625464-optimized.jpg","L - 4, XL - 17",21,
BUYMEUA,МІЛІТАРІ,товари для самооборони,Балончик газовий ТЕРЕН-4,255.0000,,"<p>Балончик «Терен-4» засіб призначений для застосування повнолітніми цивільними особами з метою самозахисту. Є газовим балончиком аерозольного типу, заповненим речовиною викликає сльозогінні і дратівливі розлади.</p><p>Для активації балона потрібно видалити запобіжний клапан, розташований зверху над спусковою стартовою кнопкою, направивши сопло на супротивника випустити «конус» аерозольного препарату. Найбільш ефективна вражаюча відстань становить 2,5 метра. Оскільки балончик відноситься до спецзасобів, слід дотримуватися правил використання: відмовитися від застосування в місцях масового скупчення людей, біля відкритого вогню, не можна залишати балон у місці доступному для дітей , не застосовувати в закритих приміщеннях, автомобілях, тому що наслідком цього стане самоборотьба, а також слід дотримуватися рекомендацій щодо зберігання (термін придатності, температура тощо).</p><p>Газовий балончик не забезпечує повного відключення свідомості супротивника, а частково дезактивує його.</p>",11820,"https://cdn.buymeua.shop/buymeua/product/209322/conversions/IMG_3194-optimized.jpg, https://cdn.buymeua.shop/buymeua/product/209321/conversions/1661369958-optimized.jpg, https://cdn.buymeua.shop/buymeua/product/222217/conversions/1683403678-optimized.jpg",Універсальний - 106,106,
